sku,internal_code,status,brand,series,model,variant_of,gtin,hsn,title,description,category,sub_category,mrp,selling_price,gst_rate,availability,stock_count,condition,installation_included,warranty_months,compressor_warranty_months,weight_kg,length_mm,width_mm,height_mm,capacity,color,star_rating,inverter,rating_value,rating_count,highlights,faqs,image_files
GAL-RF-013,RFF284D / 1WPV100RXIDP,active,Voltas Beko,,RFF284D,,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-014,RFF284C / 2WPV100RBBDP,active,Voltas Beko,,RFF284C,,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-015,RFF284C / 2WPV100RBWDP,active,Voltas Beko,,RFF284C,GAL-RF-014,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-016,RFF284C / 2WPV100RXIDP,active,Voltas Beko,,RFF284C,GAL-RF-014,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-017,RFF284C / 2WPV100RXBDP,active,Voltas Beko,,RFF284C,GAL-RF-014,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-018,RFF295D / 1W0V100RXID,active,Voltas Beko,,RFF295D,,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-019,RFF295C / 2WPV100RXIDP,active,Voltas Beko,,RFF295C,,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-020,RFF295C / 2WPV100RCWDP,active,Voltas Beko,,RFF295C,GAL-RF-019,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-021,RFF295C / 2WPV100RXBDP,active,Voltas Beko,,RFF295C,GAL-RF-019,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-022,RFF295C / 2WPV100RCBDP,active,Voltas Beko,,RFF295C,GAL-RF-019,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-023,RFF295B / 3WPV100RXIDP,active,Voltas Beko,,RFF295B,,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-024,RFF295B / 3WPV100RXBDP,active,Voltas Beko,,RFF295B,GAL-RF-023,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-025,RFF315D / 1WPV100RXID,active,Voltas Beko,,RFF315D,,,,Voltas Beko 268L Frost Free Double Door Refrigerator,"This 268L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,268L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-026,RFF315C / 2WPV100RXIDP,active,Voltas Beko,,RFF315C,,,,Voltas Beko 268L Frost Free Double Door Refrigerator,"This 268L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,268L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-027,RFF315C / 2WPV100RXBDP,active,Voltas Beko,,RFF315C,GAL-RF-026,,,Voltas Beko 268L Frost Free Double Door Refrigerator,"This 268L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,268L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-CO-4810331,Voltas Air Cooler Grand 72,active,Voltas,,4810331,,,,Voltas Desert Air Cooler Grand 72,72 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,18190,12290,,unknown,,new,,,,,,,,72L,,,,,,,,voltas-4810331|voltas-4810331-2|voltas-4810331-3|voltas-4810331-4|voltas-4810331-5|voltas-4810331-6
GAL-CO-4810335,Voltas Air Cooler Windsor 65,active,Voltas,,4810335,,,,Room Air Cooler Windsor 65,Model No.: 4810335 / Windsor 65 Gross Volume: 65 Litre Product Color: White & Grey Honeycomb + Woodwool Pad for Long Lasting Cooling Motor with Thermal Overload Protection Mosquito Repellent Works on Inverter 65 litre Desert Cooler with Honeycomb cooling pads,Air Cooler,Personal,16990,13405,,unknown,,new,,,,29.5,,,,65L,,,,,,,,voltas-4810335|voltas-4810335-2|voltas-4810335-3
GAL-CO-4810347,Voltas Air Cooler JetMax 54,active,Voltas,,4810347,,,,Voltas Desert Air Cooler JetMax 54,54 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,16290,11090,,unknown,,new,,,,,,,,54L,,,,,,,,voltas-4810347|voltas-4810347-2|voltas-4810347-3|voltas-4810347-4|voltas-4810347-5|voltas-4810347-6
GAL-CO-4810348,Voltas Air Cooler JetMax 70,active,Voltas,,4810348,,,,Voltas Desert Air Cooler JetMax 70,70 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,18190,12090,,unknown,,new,,,,,,,,70L,,,,,,,,voltas-4810348|voltas-4810348-2|voltas-4810348-3|voltas-4810348-4|voltas-4810348-5|voltas-4810348-6
GAL-ST-9014092,Voltas Stablizer VA 4090-90V-300V (4KVA),active,Voltas,,9014092,,,,Stabilizer VA4090 - 4KVA - 90V-300V,Model No.: 9014092 / VA4090 - 4KVA - 90V-300V Transformer Type: Torodial Core Applicable For: 1.5 TR,Stabiliser,,9790,7424,,unknown,,new,,,,,,,,,,,,,,,,voltas-9014092|voltas-9014092-2|voltas-9014092-3|voltas-9014092-4
GAL-ST-9014132,Voltas Stablizer VA 4130-130V-300V,active,Voltas,,9014132,,,,Stabilizer VA4130 - 130V-300V - 4 KVA,Model No.: 9014132 / VA4130 - 130V-300V - 4 KVA Transformer Type: Torodial Core Applicable For: 1.5 TR,Stabiliser,,5590,3925,,unknown,,new,,,,,,,,,,,,,,,,voltas-9014132|voltas-9014132-2|voltas-9014132-3|voltas-9014132-4
GAL-ST-9014171,Voltas Stablizer VA 4170-170V-270V,active,Voltas,,9014171,,,,Stabilizer VA4170 L - 170V-270V 4 KVA,Model No.: 9014171 / VA4170 L - 170V-270V 4 KVA Transformer Type: EI Core Applicable For: 1.5 TR,Stabiliser,,3290,2300,,unknown,,new,,,,,,,,,,,,,,,,voltas-9014171|voltas-9014171-2|voltas-9014171-3|voltas-9014171-4
GAL-ST-9015132,Voltas Stablizer VA 5130-130V-300V,active,Voltas,,9015132,,,,Stabilizer VA5130 - 130V-300V - 5 KVA,Model No.: 9015132 / VA5130 - 130V-300V - 5 KVA Transformer Type: Torodial Core Applicable For: 2 TR,Stabiliser,,6290,4594,,unknown,,new,,,,,,,,,,,,,,,,voltas-9015132|voltas-9015132-2|voltas-9015132-3|voltas-9015132-4
GAL-CO-4810371,Voltas Air Cooler Epicool 54,active,Voltas,,4810371,,,,Voltas Desert Air Cooler Epicool 54,54 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,16990,11490,,unknown,,new,,,,,,,,54L,,,,,,,,voltas-4810371|voltas-4810371-2|voltas-4810371-3|voltas-4810371-4|voltas-4810371-5
GAL-CO-4810372,Voltas Air Cooler Epicool 70,active,Voltas,,4810372,,,,Voltas Desert Air Cooler Epicool 70,70 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,18690,12590,,unknown,,new,,,,,,,,70L,,,,,,,,voltas-4810372|voltas-4810372-2|voltas-4810372-3|voltas-4810372-4
GAL-CO-4810373,Voltas Air Cooler Epicool 90,active,Voltas,,4810373,,,,Voltas Desert Air Cooler Epicool 90,90 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,19890,13390,,unknown,,new,,,,,,,,90L,,,,,,,,voltas-4810373|voltas-4810373-2|voltas-4810373-3|voltas-4810373-4
GAL-CO-4810333,VOLTAS AIR COOLER GRAND 92,active,Voltas,,4810333,,,,Voltas Desert Air Cooler Grand 92,92 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,19890,13490,,unknown,,new,,,,,,,,92L,,,,,,,,voltas-4810333|voltas-4810333-2|voltas-4810333-3|voltas-4810333-4
GAL-CO-4810352,Voltas Air Cooler Jetmax 70T/DLXS,active,Voltas,,4810352,,,,Voltas Desert Air Cooler JetMax 70T,70 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,19790,13290,,unknown,,new,,,,,,,,70L,,,,,,,,voltas-4810352|voltas-4810352-2|voltas-4810352-3|voltas-4810352-4|voltas-4810352-5
GAL-CO-4810349,Voltas Air Cooler JetMax 90,active,Voltas,,4810349,,,,Voltas Desert Air Cooler JetMax 90,90 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling.,Air Cooler,Desert,18990,12790,,unknown,,new,,,,,,,,90L,,,,,,,,voltas-4810349|voltas-4810349-2|voltas-4810349-3|voltas-4810349-4
GAL-CO-4810441,VOLTAS AIR COOLER TEJAS 110,active,Voltas,,4810441,,,,Voltas Desert Air Cooler TEJAS 110,110 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,21990,14790,,unknown,,new,,,,,,,,110L,,,,,,,,voltas-4810441|voltas-4810441-2|voltas-4810441-3|voltas-4810441-4|voltas-4810441-5|voltas-4810441-6
GAL-CO-4810439,VOLTAS AIR COOLER TEJAS 85,active,Voltas,,4810439,,,,Voltas Desert Air Cooler TEJAS 85,85 Litre Desert Cooler with Honeycomb cooling pads for long-lasting cooling,Air Cooler,Desert,20990,14190,,unknown,,new,,,,,,,,85L,,,,,,,,voltas-4810439|voltas-4810439-2|voltas-4810439-3|voltas-4810439-4|voltas-4810439-5|voltas-4810439-6
GAL-FZ-5211776,VOLTAS CVF250SA3-P-GW,active,Voltas,,5211776,,,,Voltas Hard Top Convertible Freezers - (CVF250),"These Energy efficient double door Chest Freezer comes with dual temperature convertible technology. It uses Eco Friendly Refrigerant for cooling / freezing & are ideal for storing Frozen Food, Beverages & Dairy Products.",Freezer,Chest,43500,29150,,unknown,,new,,,,,,,,,,,,,,,,voltas-5211776|voltas-5211776-2|voltas-5211776-3|voltas-5211776-4|voltas-5211776-5|voltas-5211776-6|voltas-5211776-7
GAL-AC-4504076,Voltas 1.5T SAC 183 INV Venus Luxe,active,Voltas,,4504076,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Venus Luxe","Meet the Voltas Venus Luxe 1.5 Ton 3 Star Inverter Split Room AC engineered for smarter, wider, and quieter cooling. With 6 Step Adjustable Mode, it lets you fine‑tune cooling capacity to match real‑time room load and occupancy, helping save energy without compromising comfort. The Large Indoor Unit and Long Air Throw deliver powerful, far‑reaching airflow so every corner of the room feels evenly cool. Need instant relief? Turbo Cooling accelerates pull‑down for quick comfort, while Ice Wash Technology helps keep the indoor coil cleaner for fresher air and sustained performance. Built for Indian summers, High Ambient Cooling keeps performance steady even at 55°C. The energy‑efficient inverter compressor modulates speed for stable temperatures and lower noise, supported by a 3 Star rating. Enjoy uniform comfort with 4‑Way Swing and unwind with Super Silent Mode.",Air Conditioner,Split AC,67990,42000,,unknown,,new,,,,,,,,1.5 Ton,,3,true,,,,,voltas-4504076|voltas-4504076-2|voltas-4504076-3|voltas-4504076-4|voltas-4504076-5|voltas-4504076-6|voltas-4504076-7|voltas-4504076-8|voltas-4504076-9|voltas-4504076-10|voltas-4504076-11|voltas-4504076-12|voltas-4504076-13|voltas-4504076-14|voltas-4504076-15|voltas-4504076-16|voltas-4504076-17
GAL-AC-4504075,Voltas 1.5T SAC 183 INV Vertis AI Zest Gold,active,Voltas,,4504075,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis AI Zest Gold","Meet the Voltas Vertis AI Zest Gold 1.5 Ton 3 Star Inverter Split Room AC your smarter, intuitive cooling partner. Powered by Smart AI RAC, it learns your usage patterns and adjusts cooling automatically for optimum comfort. With AI Adaptive Cooling, it senses room conditions and sets the ideal temperature without manual input. The Geo‑Fencing feature allows the AC to switch modes or turn on/off based on your proximity, giving you a hands‑free experience every time you arrive or leave home. Control your energy use better with the Energy Manager, and fine‑tune cooling with 6 Step Adjustable Mode, matching real‑time room load for efficiency. When you need instant relief, Turbo Cooling delivers a quick temperature pull‑down. Stay comfortable even during peak summers with High Ambient Cooling up to 52°C.",Air Conditioner,Split AC,66990,38000,,unknown,,new,,,,,,,,1.5 Ton,,3,true,,,,,voltas-4504075|voltas-4504075-2|voltas-4504075-3|voltas-4504075-4|voltas-4504075-5|voltas-4504075-6|voltas-4504075-7|voltas-4504075-8|voltas-4504075-9|voltas-4504075-10|voltas-4504075-11|voltas-4504075-12|voltas-4504075-13|voltas-4504075-14|voltas-4504075-15|voltas-4504075-16|voltas-4504075-17|voltas-4504075-18|voltas-4504075-19
GAL-AC-4504074,Voltas 1.5T SAC 183 INV Vertis Zenith Gold,active,Voltas,,4504074,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zenith Gold","Meet the Voltas Vertis Zenith Gold 1.5 Ton 3 Star Inverter Split Room AC engineered for smart, quiet, and even cooling. With 6 Step Adjustable Mode, it offers precise control over cooling capacity, matching real‑time room load and occupancy to cut energy waste without compromising comfort. When you need instant relief, Turbo Cooling accelerates the temperature pull‑down, while Ice Wash Technology helps keep the indoor unit coil cleaner for fresher airflow and sustained performance over time. Designed for Indian summers, its High Ambient Cooling keeps comfort steady even at 52°C. The energy‑efficient inverter compressor modulates speed for consistent temperatures and lower noise, supporting savings with its 3 Star rating. Enjoy uniform comfort with 4‑Way Swing, and unwind with Super Silent Mode for low‑noise operation.",Air Conditioner,Split AC,64990,36500,,unknown,,new,,,,,,,,1.5 Ton,,3,true,,,,,voltas-4504074|voltas-4504074-2|voltas-4504074-3|voltas-4504074-4|voltas-4504074-5|voltas-4504074-6|voltas-4504074-7|voltas-4504074-8|voltas-4504074-9|voltas-4504074-10|voltas-4504074-11|voltas-4504074-12|voltas-4504074-13|voltas-4504074-14|voltas-4504074-15|voltas-4504074-16|voltas-4504074-17|voltas-4504074-18
GAL-AC-4504085,Voltas 1.5T SAC 183 INV Vertis Zephyr Gold,active,Voltas,,4504085,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zephyr Gold","Meet the Voltas Vertis Zephyr Gold 1.5 Ton 3 Star Inverter Split Room AC engineered for smart, quiet, and even cooling. With 6 Step Adjustable Mode, it gives you precise control over cooling capacity, matching real‑time room load and occupancy to save energy without compromising comfort. When you need quick relief, Turbo Cooling delivers a fast temperature pull‑down, while Ice Wash Technology helps keep the indoor unit coil cleaner for fresher airflow and sustained performance over time. Built for Indian summers, High Ambient Cooling keeps performance steady even at 52°C. The energy‑efficient inverter compressor modulates speed for consistent temperatures and lower noise, supporting savings with its 3 Star rating. Enjoy uniform comfort with 4‑Way Swing, and unwind with Super Silent Mode for low‑noise operation.",Air Conditioner,Split AC,64990,36500,,unknown,,new,,,,,,,,1.5 Ton,,3,true,,,,,voltas-4504085|voltas-4504085-2|voltas-4504085-3|voltas-4504085-4|voltas-4504085-5|voltas-4504085-6|voltas-4504085-7|voltas-4504085-8|voltas-4504085-9|voltas-4504085-10|voltas-4504085-11|voltas-4504085-12|voltas-4504085-13|voltas-4504085-14|voltas-4504085-15|voltas-4504085-16|voltas-4504085-17|voltas-4504085-18
